iter	Passed	Remaining
169	2734	13350
170	2751	13336
171	2767	13321
172	2782	13300
173	2799	13289
174	2815	13271
175	2834	13268
176	2851	13258
177	2866	13238
178	2880	13211
179	2897	13197
180	2912	13178
181	2927	13158
182	2942	13136
183	2957	13116
184	2972	13094
185	2985	13065
186	3000	13044
187	3013	13015
188	3027	12991
189	3040	12963
190	3053	12934
191	3066	12903
192	3081	12886
193	3099	12875
194	3114	12857
195	3132	12850
196	3149	12836
197	3164	12819
198	3180	12802
199	3197	12790
200	3213	12774
201	3228	12752
202	3242	12729
203	3256	12705
204	3271	12685
205	3283	12655
206	3296	12630
207	3311	12610
208	3325	12584
209	3339	12563
210	3354	12544
211	3371	12530
212	3385	12510
213	3401	12491
214	3417	12479
215	3435	12468
216	3451	12452
217	3468	12442
218	3483	12421
219	3496	12395
220	3509	12369
221	3525	12356
222	3543	12346
223	3559	12332
224	3575	12315
225	3591	12300
226	3604	12275
227	3619	12255
228	3634	12236
229	3649	12217
230	3666	12205
231	3681	12188
232	3697	12170
233	3710	12145
234	3724	12124
235	3739	12104
236	3752	12080
237	3767	12062
238	3782	12044
239	3796	12023
240	3813	12010
241	3829	11995
242	3843	11974
243	3857	11951
244	3875	11941
245	3894	11936
246	3909	11917
247	3923	11897
248	3938	11879
249	3955	11865
250	3969	11846
251	3983	11824
252	3998	11805
253	4013	11786
254	4027	11766
255	4043	11752
256	4057	11730
257	4070	11708
258	4087	11692
259	4109	11695
260	4124	11679
261	4139	11660
262	4154	11641
263	4167	11619
264	4183	11602
265	4199	11587
266	4215	11573
267	4229	11551
268	4242	11528
269	4257	11510
270	4269	11484
271	4283	11463
272	4299	11448
273	4314	11432
274	4330	11415
275	4344	11396
276	4357	11374
277	4373	11359
278	4388	11339
279	4405	11327
280	4421	11313
281	4437	11297
282	4456	11289
283	4471	11272
284	4488	11259
285	4504	11245
286	4521	11231
287	4536	11216
288	4551	11196
289	4565	11177
290	4581	11161
291	4594	11139
292	4607	11118
293	4622	11099
294	4637	11083
295	4655	11071
296	4671	11056
297	4686	11040
298	4702	11024
299	4717	11007
300	4731	10988
301	4746	10970
302	4761	10952
303	4777	10938
304	4793	10923
305	4810	10909
306	4826	10895
307	4842	10879
308	4857	10862
309	4870	10841
310	4885	10823
311	4902	10810
312	4918	10795
313	4934	10780
314	4949	10763
315	4965	10748
316	4981	10733
317	4998	10720
318	5013	10702
319	5026	10681
320	5041	10664
321	5057	10648
322	5074	10635
323	5091	10623
324	5108	10609
325	5124	10595
326	5163	10626
327	5178	10609
328	5191	10589
329	5210	10578
330	5223	10557
331	5238	10541
332	5257	10531
333	5274	10517
334	5289	10500
335	5305	10485
336	5322	10471
337	5339	10457
338	5355	10441
339	5370	10425
340	5388	10412
341	5405	10399
342	5422	10385
343	5441	10377
344	5458	10363
345	5477	10352
346	5494	10338
347	5509	10322
348	5526	10308
349	5542	10292
350	5556	10274
351	5572	10258
352	5586	10239
353	5602	10224
354	5618	10207
355	5633	10190
356	5650	10177
357	5667	10163
358	5682	10145
359	5696	10127
360	5711	10110
361	5727	10094
362	5741	10074
363	5756	10057
364	5770	10039
365	5785	10022
366	5801	10007
367	5817	9990
368	5833	9975
369	5850	9962
370	5866	9945
371	5881	9929
372	5895	9910
373	5910	9892
374	5925	9875
375	5939	9857
376	5953	9838
377	5967	9819
378	5980	9799
379	5994	9780
380	6009	9763
381	6024	9746
382	6037	9726
383	6051	9708
384	6068	9693
385	6084	9677
386	6099	9661
387	6115	9646
388	6129	9627
389	6144	9610
390	6160	9595
391	6176	9579
392	6190	9562
393	6204	9542
394	6218	9524
395	6232	9506
396	6249	9491
397	6262	9472
398	6277	9455
399	6290	9436
400	6304	9416
401	6319	9400
402	6331	9380
403	6347	9363
404	6363	9348
405	6378	9332
406	6391	9312
407	6406	9295
408	6420	9276
409	6435	9260
410	6448	9241
411	6462	9223
412	6479	9208
413	6494	9193
414	6510	9177
415	6524	9159
416	6538	9140
417	6552	9123
418	6567	9106
419	6582	9089
420	6596	9072
421	6610	9054
422	6626	9038
423	6640	9020
424	6653	9001
425	6668	8985
426	6683	8969
427	6697	8950
428	6711	8932
429	6726	8916
430	6740	8898
431	6752	8878
432	6768	8863
433	6784	8847
434	6797	8829
435	6810	8809
436	6826	8794
437	6841	8778
438	6856	8762
439	6869	8742
440	6883	8725
441	6898	8709
442	6913	8692
443	6926	8673
444	6939	8655
445	6954	8639
446	6967	8620
447	6982	8602
448	6997	8587
449	7011	8569
450	7024	8551
451	7040	8535
452	7053	8517
453	7068	8500
454	7080	8480
455	7096	8465
456	7110	8448
457	7124	8431
458	7140	8416
459	7154	8399
460	7168	8381
461	7181	8363
462	7196	8347
463	7213	8333
464	7227	8315
465	7240	8297
466	7255	8280
467	7268	8262
468	7279	8241
469	7294	8226
470	7311	8211
471	7326	8195
472	7339	8177
473	7351	8158
474	7365	8140
475	7377	8121
476	7390	8103
477	7405	8087
478	7419	8070
479	7431	8051
480	7444	8032
481	7458	8015
482	7470	7996
483	7483	7978
484	7499	7962
485	7514	7947
486	7526	7928
487	7540	7911
488	7553	7893
489	7567	7876
490	7580	7858
491	7593	7839
492	7605	7821
493	7621	7806
494	7635	7789
495	7648	7772
496	7664	7757
497	7677	7739
498	7689	7720
499	7702	7702
500	7717	7687
501	7732	7670
502	7745	7652
503	7758	7635
504	7771	7617
505	7784	7599
506	7796	7581
507	7812	7566
508	7827	7550
509	7842	7534
510	7855	7516
511	7869	7500
512	7884	7484
513	7904	7473
514	7921	7460
515	7937	7445
516	7955	7432
517	7969	7415
518	7983	7399
519	7996	7381
520	8010	7364
521	8023	7347
522	8036	7329
523	8051	7313
524	8065	7297
525	8080	7281
526	8095	7265
527	8109	7249
528	8122	7231
529	8134	7213
530	8148	7197
531	8162	7180
532	8176	7164
533	8190	7147
534	8205	7131
535	8218	7114
536	8230	7096
537	8244	7079
538	8258	7063
539	8272	7046
540	8287	7030
541	8300	7013
542	8316	6999
543	8334	6986
544	8350	6971
545	8366	6956
546	8380	6940
547	8395	6924
548	8409	6907
549	8422	6891
550	8435	6874
551	8450	6858
552	8465	6842
553	8481	6827
554	8497	6813
555	8511	6796
556	8523	6778
557	8537	6763
558	8552	6746
559	8566	6731
560	8579	6713
561	8592	6696
562	8604	6678
563	8618	6662
564	8632	6646
565	8646	6630
566	8658	6612
567	8673	6596
568	8687	6580
569	8700	6563
570	8714	6547
571	8726	6529
572	8740	6513
573	8753	6496
574	8768	6481
575	8781	6464
576	8793	6446
577	8806	6429
578	8819	6413
579	8832	6396
580	8845	6379
581	8861	6364
582	8873	6346
583	8888	6331
584	8902	6315
585	8917	6299
586	8932	6284
587	8946	6268
588	8960	6252
589	8973	6236
590	8988	6220
591	9002	6204
592	9017	6188
593	9030	6172
594	9044	6156
595	9058	6140
596	9074	6125
597	9089	6110
598	9102	6093
599	9118	6079
600	9132	6062
601	9146	6046
602	9160	6031
603	9178	6017
604	9191	6000
605	9203	5983
606	9216	5967
607	9230	5951
608	9245	5936
609	9261	5921
610	9277	5906
611	9292	5891
612	9306	5875
613	9321	5860
614	9333	5843
615	9348	5827
616	9362	5811
617	9377	5796
618	9390	5780
619	9405	5764
620	9419	5748
621	9433	5733
622	9449	5718
623	9465	5703
624	9478	5687
625	9491	5670
626	9505	5654
627	9519	5638
628	9530	5621
629	9543	5605
630	9556	5588
631	9570	5572
632	9586	5558
633	9600	5542
634	9614	5526
635	9627	5510
636	9641	5494
637	9655	5478
638	9669	5462
639	9683	5447
640	9698	5431
641	9713	5416
642	9728	5401
643	9744	5386
644	9758	5370
645	9773	5355
646	9788	5340
647	9800	5323
648	9814	5308
649	9830	5293
650	9846	5278
651	9863	5264
652	9882	5251
653	9895	5235
654	9910	5219
655	9926	5205
656	9940	5189
657	9953	5173
658	9966	5157
659	9984	5143
660	9998	5127
661	10013	5112
662	10028	5097
663	10042	5081
664	10058	5067
665	10073	5051
666	10090	5037
667	10105	5022
668	10121	5007
669	10136	4992
670	10150	4976
671	10164	4961
672	10177	4945
673	10190	4929
674	10206	4914
675	10219	4898
676	10234	4883
677	10248	4867
678	10263	4851
679	10276	4835
680	10289	4819
681	10302	4803
682	10315	4787
683	10327	4771
684	10342	4756
685	10356	4740
686	10369	4724
687	10383	4709
688	10398	4693
689	10411	4677
690	10425	4662
691	10440	4646
692	10453	4630
693	10466	4615
694	10480	4599
695	10496	4584
696	10510	4569
697	10526	4554
698	10542	4539
699	10556	4524
700	10575	4510
701	10591	4495
702	10607	4481
703	10623	4466
704	10638	4451
705	10656	4437
706	10672	4423
707	10688	4408
708	10705	4393
709	10719	4378
710	10736	4364
711	10752	4349
712	10768	4334
713	10783	4319
714	10797	4303
715	10811	4288
716	10824	4272
717	10838	4257
718	10853	4241
719	10867	4226
720	10884	4211
721	10899	4196
722	10914	4181
723	10928	4166
724	10943	4151
725	10958	4135
726	10972	4120
727	10987	4105
728	11001	4089
729	11015	4074
730	11030	4058
731	11044	4043
732	11061	4029
733	11077	4014
734	11092	3999
735	11106	3983
736	11122	3969
737	11137	3954
738	11151	3938
739	11165	3923
740	11179	3907
741	11192	3891
742	11208	3876
743	11225	3862
744	11240	3847
745	11255	3832
746	11270	3817
747	11284	3801
748	11297	3786
749	11313	3771
750	11326	3755
751	11339	3739
752	11355	3724
753	11369	3709
754	11384	3694
755	11399	3679
756	11413	3663
757	11428	3648
758	11446	3634
759	11460	3619
760	11475	3604
761	11493	3589
762	11509	3575
763	11525	3560
764	11539	3544
765	11554	3529
766	11569	3514
767	11584	3499
768	11598	3484
769	11613	3468
770	11626	3453
771	11641	3438
772	11653	3422
773	11668	3406
774	11682	3391
775	11696	3376
776	11711	3361
777	11726	3346
778	11741	3331
779	11756	3315
780	11772	3301
781	11788	3286
782	11802	3270
783	11817	3255
784	11830	3240
785	11846	3225
786	11860	3210
787	11876	3195
788	11896	3181
789	11913	3166
790	11926	3151
791	11940	3135
792	11956	3120
793	11971	3105
794	11984	3090
795	11999	3075
796	12015	3060
797	12032	3045
798	12047	3030
799	12063	3015
800	12078	3000
801	12095	2986
802	12110	2971
803	12125	2955
804	12138	2940
805	12152	2925
806	12167	2909
807	12180	2894
808	12196	2879
809	12213	2864
810	12228	2849
811	12244	2834
812	12259	2819
813	12275	2804
814	12290	2789
815	12304	2774
816	12318	2759
817	12332	2743
818	12345	2728
819	12359	2713
820	12374	2697
821	12388	2682
822	12402	2667
823	12416	2651
824	12431	2636
825	12446	2621
826	12458	2606
827	12475	2591
828	12491	2576
829	12505	2561
830	12522	2546
831	12536	2531
832	12551	2516
833	12566	2501
834	12580	2485
835	12595	2470
836	12609	2455
837	12622	2440
838	12637	2425
839	12651	2409
840	12665	2394
841	12679	2379
842	12693	2364
843	12708	2348
844	12721	2333
845	12736	2318
846	12750	2303
847	12765	2288
848	12780	2273
849	12794	2257
850	12809	2242
851	12824	2227
852	12838	2212
853	12852	2197
854	12866	2182
855	12881	2166
856	12895	2151
857	12909	2136
858	12924	2121
859	12939	2106
860	12953	2091
861	12967	2075
862	12980	2060
863	12994	2045
864	13009	2030
865	13025	2015
866	13039	2000
867	13052	1984
868	13065	1969
869	13079	1954
870	13091	1938
871	13106	1923
872	13122	1908
873	13134	1893
874	13148	1878
875	13161	1862
876	13176	1848
877	13190	1832
878	13204	1817
879	13218	1802
880	13232	1787
881	13245	1772
882	13259	1756
883	13271	1741
884	13284	1726
885	13297	1710
886	13310	1695
887	13324	1680
888	13338	1665
889	13351	1650
890	13364	1634
891	13379	1619
892	13392	1604
893	13406	1589
894	13420	1574
895	13433	1559
896	13448	1544
897	13461	1529
898	13475	1513
899	13489	1498
900	13503	1483
901	13518	1468
902	13532	1453
903	13548	1438
904	13560	1423
905	13574	1408
906	13588	1393
907	13602	1378
908	13616	1363
909	13630	1348
910	13646	1333
911	13659	1318
912	13673	1302
913	13688	1287
914	13703	1273
915	13717	1257
916	13731	1242
917	13746	1227
918	13758	1212
919	13772	1197
920	13787	1182
921	13801	1167
922	13816	1152
923	13831	1137
924	13847	1122
925	13865	1108
926	13880	1093
927	13895	1078
928	13909	1063
929	13924	1048
930	13944	1033
931	13963	1018
932	13981	1004
933	13996	989
934	14016	974
935	14034	959
936	14052	944
937	14075	930
938	14093	915
939	14110	900
940	14127	885
941	14144	870
942	14158	855
943	14174	840
944	14186	825
945	14201	810
946	14216	795
947	14230	780
948	14246	765
949	14260	750
950	14274	735
951	14287	720
952	14301	705
953	14316	690
954	14331	675
955	14345	660
956	14359	645
957	14374	630
958	14388	615
959	14405	600
960	14418	585
961	14434	570
962	14448	555
963	14461	540
964	14477	525
965	14490	510
966	14505	495
967	14519	479
968	14534	464
969	14548	449
970	14562	434
971	14580	420
972	14597	405
973	14614	390
974	14628	375
975	14643	360
976	14658	345
977	14673	330
978	14687	315
979	14702	300
980	14716	285
981	14727	269
982	14741	254
983	14755	239
984	14769	224
985	14783	209
986	14798	194
987	14811	179
988	14826	164
989	14843	149
990	14857	134
991	14871	119
992	14885	104
993	14900	89
994	14914	74
995	14927	59
996	14940	44
997	14954	29
998	14970	14
999	14985	0
